t,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,label,category,session_num,source
0.0,0.208,1.021,-0.093,-3.875,68.625,-31.0,553.8702938805766,idle,adl,1,real_hardware
0.005,0.244,0.964,-0.109,-4.625,65.625,-26.0,553.8654418670579,idle,adl,1,real_hardware
0.01,0.257,0.939,-0.111,-8.75,63.25,-21.0,553.8805212047608,idle,adl,1,real_hardware
0.015,0.273,0.912,-0.128,-10.5,54.375,-15.875,553.8805212047608,idle,adl,1,real_hardware
0.02,0.275,0.902,-0.144,-8.0,40.0,-19.0,553.8805212047608,idle,adl,1,real_hardware
0.025,0.265,0.927,-0.16,3.0,36.875,-23.125,553.8805212047608,idle,adl,1,real_hardware
0.03,0.236,0.972,-0.173,4.25,37.0,-22.625,553.8805212047608,idle,adl,1,real_hardware
0.035,0.187,0.988,-0.181,2.875,39.75,-26.25,553.8805212047608,idle,adl,1,real_hardware
0.04,0.132,0.996,-0.197,5.125,32.5,-17.25,553.8853733506825,idle,adl,1,real_hardware
0.045,0.091,1.003,-0.207,12.875,24.375,-18.75,553.8805212047608,idle,adl,1,real_hardware
0.05,0.062,0.994,-0.207,17.125,29.75,-21.875,553.8853733506825,idle,adl,1,real_hardware
0.055,0.041,0.974,-0.205,16.25,19.625,-19.25,553.8702938805766,idle,adl,1,real_hardware
0.06,0.027,0.96,-0.212,12.375,20.75,-15.625,553.8702938805766,idle,adl,1,real_hardware
0.065,0.023,0.962,-0.212,17.75,15.0,-15.125,553.8702938805766,idle,adl,1,real_hardware
0.07,0.021,0.953,-0.214,9.375,12.875,-10.25,553.8702938805766,idle,adl,1,real_hardware
0.075,0.011,0.964,-0.22,12.125,25.375,-7.5,553.8702938805766,idle,adl,1,real_hardware
0.08,0.011,0.962,-0.216,5.75,18.625,-8.125,553.8702938805766,idle,adl,1,real_hardware
0.085,0.021,0.97,-0.228,-3.625,21.0,-1.0,553.8702938805766,idle,adl,1,real_hardware
0.09,0.023,0.978,-0.222,-9.25,16.25,-2.0,553.8702938805766,idle,adl,1,real_hardware
0.095,0.027,0.986,-0.228,-4.25,14.375,-4.875,553.8702938805766,idle,adl,1,real_hardware
0.1,0.031,1.001,-0.226,-2.5,15.875,0.75,553.8702938805766,idle,adl,1,real_hardware
0.105,0.031,1.001,-0.218,-6.25,15.75,8.5,553.8751459481742,idle,adl,1,real_hardware
0.11,0.027,1.005,-0.207,-9.375,14.75,-0.625,553.8751459481742,idle,adl,1,real_hardware
0.115,0.027,1.017,-0.193,-9.75,11.0,13.125,553.8702938805766,idle,adl,1,real_hardware
0.12,0.027,1.013,-0.183,-2.5,20.25,12.25,553.8702938805766,idle,adl,1,real_hardware
0.125,0.025,1.021,-0.183,-6.25,11.125,13.5,553.8702938805766,idle,adl,1,real_hardware
