t,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,label,category,session_num,source
0.0,-0.181,-0.98,0.185,-1.0,-1.75,-4.625,569.1809165783145,idle,adl,5,real_hardware
0.005,-0.183,-0.976,0.183,1.0,0.125,-3.875,569.1654074474408,idle,adl,5,real_hardware
0.01,-0.175,-0.976,0.185,-3.875,-2.0,-5.5,569.1758934718248,idle,adl,5,real_hardware
0.015,-0.177,-0.978,0.181,-5.75,-1.75,1.5,569.1758934718248,idle,adl,5,real_hardware
0.02,-0.175,-0.978,0.183,3.0,3.125,-9.25,569.1758934718248,idle,adl,5,real_hardware
0.025,-0.175,-0.978,0.179,-5.625,-4.5,-1.875,569.1758934718248,idle,adl,5,real_hardware
0.03,-0.179,-0.974,0.181,-1.125,-6.25,5.0,569.1758934718248,idle,adl,5,real_hardware
0.035,-0.169,-0.982,0.181,-2.875,4.25,6.5,569.1708704209108,idle,adl,5,real_hardware
0.04,-0.177,-0.972,0.183,-4.125,2.75,2.0,569.1553615636692,idle,adl,5,real_hardware
0.045,-0.173,-0.978,0.175,2.125,-4.125,-1.25,569.1758934718248,idle,adl,5,real_hardware
0.05,-0.175,-0.98,0.179,1.0,-2.5,-6.125,569.1603844777678,idle,adl,5,real_hardware
0.055,-0.167,-0.984,0.185,-1.125,2.5,1.375,569.1758934718248,idle,adl,5,real_hardware
0.06,-0.171,-0.974,0.183,4.625,-2.0,2.5,569.1553615636692,idle,adl,5,real_hardware
0.065,-0.171,-0.978,0.175,1.375,-6.125,-1.875,569.1553615636692,idle,adl,5,real_hardware
0.07,-0.169,-0.974,0.171,-5.125,-3.375,-3.75,569.1658474255719,idle,adl,5,real_hardware
0.075,-0.167,-0.976,0.177,8.25,-2.875,1.625,569.1553615636692,idle,adl,5,real_hardware
0.08,-0.169,-0.98,0.173,5.875,-0.625,-0.375,569.1553615636692,idle,adl,5,real_hardware
0.085,-0.166,-0.98,0.167,-1.75,-3.75,-3.625,569.1503387051442,idle,adl,5,real_hardware
0.09,-0.16,-0.978,0.171,7.375,3.75,-6.5,569.1503387051442,idle,adl,5,real_hardware
0.095,-0.164,-0.974,0.173,5.375,1.75,-0.25,569.1708704209108,idle,adl,5,real_hardware
0.1,-0.158,-0.976,0.181,-2.0,-1.5,0.375,569.1708704209108,idle,adl,5,real_hardware
0.105,-0.162,-0.978,0.179,-3.125,-9.5,-3.375,569.1708704209108,idle,adl,5,real_hardware
0.11,-0.162,-0.974,0.181,-0.5,-2.75,-2.875,569.1708704209108,idle,adl,5,real_hardware
