t,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,label,category,session_num,source
0.0,0.025,-0.841,0.361,-36.0,32.0,6.875,566.0403896118763,idle,adl,6,real_hardware
0.005,0.027,-0.83,0.341,-28.0,34.625,11.25,566.0199065431538,idle,adl,6,real_hardware
0.01,0.027,-0.837,0.324,-32.125,21.375,7.5,566.0199065431538,idle,adl,6,real_hardware
0.015,0.027,-0.863,0.306,-28.25,14.75,5.375,566.0403896118763,idle,adl,6,real_hardware
0.02,0.021,-0.875,0.287,-20.875,5.875,-2.375,566.0403896118763,idle,adl,6,real_hardware
0.025,-0.003,-0.886,0.281,-17.875,-0.75,1.125,566.0249002926296,idle,adl,6,real_hardware
0.03,-0.027,-0.89,0.298,-17.125,-1.5,2.0,566.0249002926296,idle,adl,6,real_hardware
0.035,-0.056,-0.902,0.316,-15.125,-13.25,-0.25,566.0249002926296,idle,adl,6,real_hardware
0.04,-0.064,-0.914,0.345,-15.375,-1.875,10.5,566.0249002926296,idle,adl,6,real_hardware
0.045,-0.076,-0.914,0.367,-10.375,-15.875,9.75,566.0249002926296,idle,adl,6,real_hardware
0.05,-0.095,-0.912,0.39,-4.5,-13.875,11.25,566.0403896118763,idle,adl,6,real_hardware
0.055,-0.117,-0.912,0.41,-4.375,-17.375,2.0,566.035395725796,idle,adl,6,real_hardware
0.06,-0.121,-0.904,0.4,2.875,-21.75,-1.25,566.035395725796,idle,adl,6,real_hardware
0.065,-0.142,-0.906,0.388,-2.25,-17.375,6.0,566.014912848966,idle,adl,6,real_hardware
0.07,-0.134,-0.902,0.353,13.375,-16.0,-0.75,566.0199065431538,idle,adl,6,real_hardware
0.075,-0.132,-0.902,0.298,-2.625,-21.0,5.0,566.0199065431538,idle,adl,6,real_hardware
0.08,-0.13,-0.902,0.281,3.375,-17.375,2.625,566.0199065431538,idle,adl,6,real_hardware
0.085,-0.111,-0.917,0.25,11.125,-17.875,8.0,566.0199065431538,idle,adl,6,real_hardware
0.09,-0.099,-0.929,0.244,5.75,-16.375,12.625,566.0403896118763,idle,adl,6,real_hardware
0.095,-0.093,-0.951,0.25,10.25,-10.5,8.625,566.0403896118763,idle,adl,6,real_hardware
0.1,-0.082,-0.958,0.261,5.25,-17.125,13.25,566.0403896118763,idle,adl,6,real_hardware
