t,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,label,category,session_num,source
0.0,0.199,-1.064,-0.363,-34.5,-13.5,-2.875,550.5347198440446,idle,adl,7,real_hardware
0.005,0.154,-1.068,-0.375,-22.875,-12.625,-13.0,550.5146378365882,idle,adl,7,real_hardware
0.01,0.095,-1.072,-0.378,-22.25,-0.5,-8.25,550.5098007503042,idle,adl,7,real_hardware
0.015,0.07,-1.101,-0.378,-26.5,1.375,1.5,550.5250453495036,idle,adl,7,real_hardware
0.02,0.041,-1.13,-0.359,-24.625,6.125,-7.375,550.5250453495036,idle,adl,7,real_hardware
0.025,0.027,-1.164,-0.326,-20.375,4.75,-1.625,550.5250453495036,idle,adl,7,real_hardware
0.03,0.023,-1.144,-0.283,-7.0,2.75,-13.625,550.5146378365882,idle,adl,7,real_hardware
0.035,0.021,-1.144,-0.251,-14.375,2.5,-10.875,550.5146378365882,idle,adl,7,real_hardware
0.04,0.011,-1.158,-0.22,-23.0,0.875,-11.5,550.5194749767041,idle,adl,7,real_hardware
0.045,0.001,-1.158,-0.207,-19.0,0.25,-14.875,550.5042301176218,idle,adl,7,real_hardware
0.05,0.009,-1.136,-0.181,-19.625,1.25,-20.625,550.5042301176218,idle,adl,7,real_hardware
0.055,0.017,-1.101,-0.171,-24.125,-3.625,-15.125,550.5090671774974,idle,adl,7,real_hardware
0.06,0.027,-1.056,-0.167,-19.25,-2.375,-22.875,550.5090671774974,idle,adl,7,real_hardware
0.065,0.041,-1.003,-0.158,-23.5,-3.125,-22.625,550.5090671774974,idle,adl,7,real_hardware
0.07,0.072,-0.992,-0.166,-18.25,0.625,-23.25,550.5194749767041,idle,adl,7,real_hardware
0.075,0.087,-0.994,-0.152,-10.375,2.25,-19.5,550.5194749767041,idle,adl,7,real_hardware
0.08,0.113,-0.962,-0.152,-10.125,2.125,-15.875,550.5194749767041,idle,adl,7,real_hardware
0.085,0.115,-0.953,-0.148,-7.125,6.375,-12.375,550.5194749767041,idle,adl,7,real_hardware
0.09,0.109,-0.947,-0.13,2.875,16.125,-17.625,550.5194749767041,idle,adl,7,real_hardware
0.095,0.089,-0.929,-0.111,-1.5,11.75,-6.25,550.5194749767041,idle,adl,7,real_hardware
0.1,0.072,-0.908,-0.093,-4.0,9.25,-7.625,550.5243121706521,idle,adl,7,real_hardware
0.105,0.037,-0.89,-0.078,0.875,14.25,-4.625,550.5243121706521,idle,adl,7,real_hardware
0.11,0.023,-0.873,-0.068,6.25,11.125,-2.25,550.5243121706521,idle,adl,7,real_hardware
0.115,0.019,-0.873,-0.05,6.5,13.75,-1.25,550.5243121706521,idle,adl,7,real_hardware
0.12,0.001,-0.884,-0.042,7.125,7.25,-0.75,550.5243121706521,idle,adl,7,real_hardware
0.125,-0.019,-0.906,-0.066,8.5,-5.75,5.0,550.5291494184327,idle,adl,7,real_hardware
0.13,-0.013,-0.935,-0.085,16.5,-3.375,3.875,550.5243121706521,idle,adl,7,real_hardware
0.135,-0.001,-0.97,-0.093,10.375,-5.375,5.875,550.5347198440446,idle,adl,7,real_hardware
0.14,0.015,-1.052,-0.101,13.125,-16.5,-1.25,550.5194749767041,idle,adl,7,real_hardware
0.145,0.023,-1.091,-0.101,10.75,-18.5,5.5,550.5146378365882,idle,adl,7,real_hardware
0.15,0.025,-1.128,-0.117,13.125,-21.375,0.5,550.5194749767041,idle,adl,7,real_hardware
0.155,0.031,-1.138,-0.138,4.5,-25.875,2.25,550.5194749767041,idle,adl,7,real_hardware
0.16,0.06,-1.166,-0.162,4.5,-29.625,5.875,550.5194749767041,idle,adl,7,real_hardware
0.165,0.089,-1.158,-0.179,2.125,-30.5,11.25,550.5194749767041,idle,adl,7,real_hardware
0.17,0.13,-1.14,-0.193,2.125,-35.375,7.5,550.5243121706521,idle,adl,7,real_hardware
0.175,0.15,-1.13,-0.191,-3.625,-36.0,4.25,550.5347198440446,idle,adl,7,real_hardware
0.18,0.185,-1.076,-0.195,-0.125,-44.75,3.375,550.5395571720653,idle,adl,7,real_hardware
0.185,0.199,-1.029,-0.199,-8.0,-49.875,4.125,550.5395571720653,idle,adl,7,real_hardware
0.19,0.193,-0.994,-0.199,-5.5,-40.875,6.25,550.5347198440446,idle,adl,7,real_hardware
0.195,0.191,-0.988,-0.199,6.125,-52.375,8.0,550.5298825698576,idle,adl,7,real_hardware
0.2,0.173,-0.97,-0.193,-4.625,-56.125,9.375,550.5146378365882,idle,adl,7,real_hardware
0.205,0.177,-1.027,-0.208,1.25,-62.75,5.5,550.5194749767041,idle,adl,7,real_hardware
0.21,0.158,-0.933,-0.193,2.875,-59.375,-2.0,550.5194749767041,idle,adl,7,real_hardware
0.215,0.152,-0.923,-0.197,2.0,-55.375,-5.375,550.5194749767041,idle,adl,7,real_hardware
0.22,0.152,-0.923,-0.197,0.75,-62.0,1.0,550.5194749767041,idle,adl,7,real_hardware
0.225,0.132,-0.947,-0.21,1.25,-63.5,4.875,550.5194749767041,idle,adl,7,real_hardware
0.23,0.13,-0.935,-0.199,4.125,-65.625,-6.5,550.5395571720653,idle,adl,7,real_hardware
0.235,0.107,-0.931,-0.191,2.125,-69.5,-4.625,550.5395571720653,idle,adl,7,real_hardware
0.24,0.076,-0.904,-0.189,0.625,-63.5,-5.5,550.5395571720653,idle,adl,7,real_hardware
0.245,0.039,-0.886,-0.185,-2.125,-69.75,-4.875,550.5395571720653,idle,adl,7,real_hardware
0.25,0.025,-0.884,-0.173,4.0,-72.25,-3.5,550.5395571720653,idle,adl,7,real_hardware
0.255,0.025,-0.871,-0.171,2.25,-75.75,-0.375,550.5395571720653,idle,adl,7,real_hardware
0.26,0.009,-0.859,-0.16,2.75,-70.75,-3.25,550.5347198440446,idle,adl,7,real_hardware
0.265,0.005,-0.859,-0.162,12.5,-73.25,-9.375,550.5347198440446,idle,adl,7,real_hardware
0.27,0.013,-0.843,-0.148,12.125,-83.75,-6.25,550.5347198440446,idle,adl,7,real_hardware
0.275,0.0,-0.853,-0.144,16.875,-72.875,-12.25,550.5298825698576,idle,adl,7,real_hardware
0.28,-0.005,-0.859,-0.148,23.875,-76.125,-10.875,550.5347198440446,idle,adl,7,real_hardware
0.285,-0.013,-0.865,-0.136,22.875,-80.625,-3.375,550.5347198440446,idle,adl,7,real_hardware
0.29,0.0,-0.894,-0.132,17.375,-68.375,-9.75,550.5347198440446,idle,adl,7,real_hardware
0.295,-0.007,-0.89,-0.132,15.375,-77.875,-7.125,550.5243121706521,idle,adl,7,real_hardware
0.3,-0.025,-0.894,-0.13,18.75,-81.125,-3.625,550.5395571720653,idle,adl,7,real_hardware
0.305,-0.041,-0.9,-0.128,28.5,-71.125,-17.0,550.5395571720653,idle,adl,7,real_hardware
0.31,-0.062,-0.906,-0.125,17.75,-70.25,-2.875,550.5443945539198,idle,adl,7,real_hardware
