t,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,label,category,session_num,source
0.0,-0.126,-0.998,0.306,6.25,-4.5,14.375,566.8355559199038,idle,adl,8,real_hardware
0.005,-0.115,-0.998,0.296,3.125,-3.875,8.375,566.8255527596605,idle,adl,8,real_hardware
0.01,-0.105,-0.994,0.296,13.375,4.25,2.25,566.8205512625822,idle,adl,8,real_hardware
0.015,-0.089,-0.98,0.287,1.375,1.5,11.75,566.8205512625822,idle,adl,8,real_hardware
0.02,-0.082,-0.98,0.281,2.0,-4.75,12.75,566.8205512625822,idle,adl,8,real_hardware
0.025,-0.074,-0.97,0.273,3.75,-8.25,14.375,566.8205512625822,idle,adl,8,real_hardware
0.03,-0.072,-0.966,0.273,0.75,-2.875,11.25,566.8205512625822,idle,adl,8,real_hardware
0.035,-0.076,-0.96,0.269,-2.625,-7.875,9.375,566.8255527596605,idle,adl,8,real_hardware
0.04,-0.085,-0.96,0.251,-0.25,-9.375,8.125,566.810054840625,idle,adl,8,real_hardware
0.045,-0.093,-0.96,0.248,8.5,-10.25,11.75,566.8255527596605,idle,adl,8,real_hardware
0.05,-0.107,-0.96,0.25,1.625,-21.625,12.125,566.830554312101,idle,adl,8,real_hardware
0.055,-0.115,-0.964,0.248,4.625,-14.0,9.25,566.810054840625,idle,adl,8,real_hardware
0.06,-0.117,-0.968,0.244,-4.125,-15.625,9.125,566.810054840625,idle,adl,8,real_hardware
0.065,-0.13,-0.976,0.238,4.625,-11.0,3.5,566.810054840625,idle,adl,8,real_hardware
0.07,-0.138,-0.974,0.238,1.125,-16.375,12.375,566.8205512625822,idle,adl,8,real_hardware
0.075,-0.152,-0.972,0.232,10.375,-24.0,6.625,566.8205512625822,idle,adl,8,real_hardware
0.08,-0.166,-0.968,0.232,9.5,-18.0,5.5,566.8255527596605,idle,adl,8,real_hardware
0.085,-0.173,-0.953,0.224,-1.5,-24.875,4.0,566.8255527596605,idle,adl,8,real_hardware
0.09,-0.191,-0.951,0.228,-2.0,-10.625,7.625,566.8255527596605,idle,adl,8,real_hardware
0.095,-0.195,-0.941,0.228,4.375,-14.75,3.5,566.8255527596605,idle,adl,8,real_hardware
0.1,-0.197,-0.929,0.228,8.0,-15.75,-0.125,566.8410506872209,idle,adl,8,real_hardware
0.105,-0.205,-0.923,0.23,8.0,-8.0,8.5,566.8255527596605,idle,adl,8,real_hardware
0.11,-0.203,-0.931,0.23,1.0,-13.625,13.5,566.8255527596605,idle,adl,8,real_hardware
0.115,-0.205,-0.931,0.234,2.25,-8.375,11.75,566.8255527596605,idle,adl,8,real_hardware
0.12,-0.201,-0.937,0.232,2.625,-14.25,7.25,566.8205512625822,idle,adl,8,real_hardware
